,Qustion,Option1,Option2,Option3,Option4,Answer
0,What does CSS stand for?, Cascading Style Sheets, Computer Style Sheets, Creative Style Sheets, Colorful Style Sheets,a
1,Which HTML tag is used to define an internal style sheet?, <style>, <script>, <css>, <link>,a
2,Which is the correct CSS syntax?, body:color=black;, {body;color:black;}, body {color: black;}, {body:color=black;},c
3,4. How do you change the background color of an element to blue?, background: blue;, bgcolor: blue;, background-color: blue;, color: blue;,c
4,How do you change the text color of an element to red?, color: red;, text-color: red;, font-color: red;, text: red;,a
5,6. Which is not a valid CSS unit?, px, em, dp, rem,c
6,What does the z-index property control?, The stacking order of elements, The transparency of elements, The visibility of elements, The position of elements,a
7,8. Which CSS property would you use to make the text bold?, font-weight: bold;, text-weight: bold;, font-style: bold;, text-style: bold;,a
8,9.	write a CSS rule to select an element with an ID of 'header'?, header { }, #header { }, .header { }, *header { },b
9,10.	Which of the following is the correct way to link an external CSS file in HTML?," <link href=""styles.css"" rel=""stylesheet"" type=""text/css"">"," <link src=""styles.css"" rel=""stylesheet"">"," <style href=""styles.css"" rel=""stylesheet"">"," <link href=""styles.css"" rel=""stylesheet"" type=""stylesheet"">",a
10,11. What symbol is used to target a class in CSS? , . , # , * , ~ ,a
11,12.	Which symbol is used for ID selectors in CSS?, *, ., #, |,c
12,13. How do you select all p elements inside a div? , div p , p div  , div.p, p > div ,a
13,14.	How do you apply a style to multiple classes in one rule?," .class1, .class2 { }", .class1.class2 { }," class1, class2 { }", .class1 .class2 { },a
14,"15.	How do you select an element with an attribute data-role=""admin""?", *[data-role=admin]," [data-role=""admin""]", data-role.admin," @data-role=""admin""",b
15,16. Which of these selectors has the highest specificity? , #id , .class , element , * ,a
16,17.	What does the descendant selector do?, Matches all elements that are children of a specified element, Matches all elements that are direct children of a specified element, Matches all elements that are siblings of a specified element, Matches all elements that are descendants of a specified element,d
17,18. Which pseudo-class would you use to select every even-numbered child of a parent? , :nth-child(odd) , :nth-child(2n) , :nth-child(even) , :nth-child(2) ,b
18,19.	How do you select an element only if it has both class1 and class2?, .class1 .class2," .class1, .class2", .class1.class2, #class1 #class2,c
19,20.	How do you target a p element only when it's the first child of its parent?, p:first-of-type, p:first-child, p:first, p:nth-child(1),b
20,"21. Which property is used to add space inside of an element, around its content? ", padding , margin , border , spacing ,a
21,"22.	Which property is used to add space outside of an element, around its border?", padding, margin, border, spacing,b
22,23. How do you set a margin of 10px on all sides of an element? , margin: 10px; , padding: 10px; , margin-all: 10px; , border-spacing: 10px; ,a
23,24.	How do you remove the padding from an element?, padding: 0;, margin: 0;, padding: none;, border-spacing: 0;,a
24,25.	What value would you use to center an element horizontally?, margin: auto;, padding: auto;, text-align: center;, display: center;,a
25,26. Which property controls the width of the border? , border-width , border-size , border-thickness , border-height ,a
26,27.	What is the default value of the box-sizing property?, content-box, border-box, padding-box, margin-box,a
27,28. How do you create a 1px solid black border around an element? , border: 1px solid black; , border: solid black 1px; , border-width: 1px; border-style: solid; border-color: black; , border: black 1px solid; ,a
28,"29.	How do you apply different padding values for each side of an element (top, right, bottom, left)?", padding: 10px 20px 30px 40px;	," padding: 10px, 20px, 30px, 40px;", padding: 10px 20px 30px 40px;, padding: top 10px right 20px bottom 30px left 40px;,a
29,30.	What property would you use to create space between a border and the content inside an element?, padding, margin, border-spacing, outline-spacing,a
30,31. Which property is used to specify the position of an element? , position , layout , display , top ,a
31,32.	What value of the position property will remove an element from the normal document flow?, absolute, relative, static, fixed,a
32,"33. How do you fix an element at the top of the viewport, even when scrolling? ", position: fixed; , position: absolute; , position: relative; , position: static; ,a
33,34.	How do you create a floating element on the right side of the container?, float: right;, align: right;, position: right;, display: right;,a
34,35.	Which CSS property clears the floating effect of an element?, clear, float, overflow, display,a
35,36. What does the display: flex; property do? , Creates a flexible container for child elements , Aligns elements to the left or right , Stretches elements to fit the container , Applies a grid layout to the container ,a
36,37.	What is the default position value of an element?, static, relative, absolute, fixed,a
37,38. How do you center an element both horizontally and vertically in a container using Flexbox? , display: flex; justify-content: center; align-items: center; , display: flex; justify-content: middle; align-items: middle; , display: block; margin: auto; , display: flexbox; align: center; ,a
38,39.	How do you create a two-column layout using Flexbox?, display: flex; flex-direction: row;, display: flex; flex-direction: column;, display: block; float: left;, display: grid; grid-template-columns: 1fr 1fr;,a
39,40.	How do you prevent a container from stretching wider than its content in Flexbox?, flex-wrap: nowrap;, flex-wrap: wrap;, flex-basis: auto;, justify-content: flex-start;,b
40,41. Which property is used to change the font size? , font-size , font , text-size , size ,a
41,42.	Which CSS property is used to make text italic?, font-style: italic;, font-weight: italic;, font: italic;, text-style: italic;,a
42,43. How do you set the font family for an element? ," font-family: Arial, sans-serif; "," font: Arial, sans-serif; "," font-type: Arial, sans-serif; "," font-style: Arial, sans-serif; ",a
43,44.	How do you set the font size to be responsive?, font-size: 2em;, font-size: 20px;, font-size: medium;, font-size: responsive;,a
44,45.	How do you add an underline to text in CSS?, text-decoration: underline;, font-decoration: underline;, text-style: underline;, text-underline: true;,a
45,46. Which property is used to control the space between lines of text? , line-height , letter-spacing , word-spacing , text-spacing ,a
